學號,姓名,國文,英文,數學,歷史,生物,總分,平均
1,龐皓芳,55,80,81,84,84,384,76.8
2,蔡欣汝,76,57,91,74,73,371,74.2
3,李政白,70,78,59,60,50,317,63.4
4,錢欣潔,67,72,95,98,80,412,82.4
5,戚亨,69,88,89,85,51,382,76.4
6,林希啟,67,54,60,67,100,348,69.6
7,盧冠發,59,62,51,85,74,331,66.2
8,許淑婷,68,84,99,52,61,364,72.8
9,張慧君,73,97,100,74,85,429,85.8
10,游倫城,72,70,57,56,68,323,64.6
11,李慈啟,70,55,78,57,91,351,70.2
12,王怡君,82,94,56,83,96,411,82.2
13,黃婷婷,71,51,88,76,89,375,75.0
14,杜明延,70,80,63,53,89,355,71.0
15,唐雪豪,68,95,59,88,70,380,76.0
16,孫火清,66,77,68,74,62,347,69.4
17,陳逸凡,99,81,65,72,98,415,83.0
18,張雅芬,74,52,87,72,92,377,75.4
19,張伊映,83,95,96,87,80,441,88.2
20,陳倩潔,91,100,84,65,62,402,80.4
21,黃佩芬,78,74,50,90,92,384,76.8
22,林志成,86,62,77,69,65,359,71.8
23,簡美君,51,85,52,71,56,315,63.0
24,陳嘉淑,67,59,63,50,62,301,60.2
25,王士銘,60,80,70,81,100,391,78.2
26,吳柏誠,65,64,60,51,61,301,60.2
27,黃必琪,71,90,63,67,54,345,69.0
28,楊易政,63,57,56,76,88,340,68.0
29,林康亮,96,65,84,100,84,429,85.8
30,陳得映,84,62,72,68,63,349,69.8
